,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Cyclelife,cycle_log
25,-1.113893114,-1.429824404,-1.592191747,-1.295000661,0.065156916,-0.021898411,-0.000121204,1.085154313,-0.000186149,1.090231258,1.080285,0.0029318,1.0716245,10.23092367,39.087688,29.9837,3269.636348,0.017087275,0.016480118,-0.000497063,483,2.683947131
26,-1.237925613,-1.611364897,-1.714278543,-0.521854131,0.09974026,-0.008945096,2.06E-05,1.073533826,-7.10E-05,1.0806242,1.0656468,0.0110646,1.073837,10.161191,35.806377,28.374697,3080.401961,0.017780064,0.016974878,-0.000504403,494,2.693726949
27,-1.190164921,-1.501189261,-1.657785184,-1.414892025,0.090062003,-0.018303065,-0.000178508,1.051277032,-0.000171432,1.049971758,1.0480373,0.0016425,1.0328457,10.333377,37.402428,29.229534,3179.218713,0.017928939,0.01643493,-0.001034869,461,2.663700925
28,-1.230650502,-1.581553129,-1.763050919,-0.89253553,0.076952991,-0.014316807,-4.40E-05,1.082136947,-0.000109075,1.087376249,1.0768799,0.005137,1.0766457,10.121576,37.163727,29.150013,3171.068044,0.017655412,0.017165525,-0.000258873,489,2.689308859
29,-1.280650809,-1.563023107,-1.762912314,-0.572505163,0.067693341,-0.016768533,-6.66E-05,1.078901174,-0.000125752,1.083801218,1.0745209,0.00356,1.0714235,10.250747,36.934685,29.381733,3160.822321,0.017877026,0.01690297,-0.00082546,527,2.721810615
30,-1.244540939,-1.572584733,-1.726014121,-1.648455294,0.102776378,-0.013258914,-3.03E-05,1.072093634,-0.000126161,1.080208468,1.0672674,0.0048971,1.0676695,10.04198667,33.972847,27.869812,2920.891715,0.017678419,0.016953357,-0.000553833,461,2.663700925
31,-1.298864379,-1.637543356,-1.780686921,-1.042000687,0.102419048,-0.009806329,4.95E-07,1.070597696,-6.74E-05,1.076084512,1.065841,0.005946,1.0693567,10.14740933,36.62397,29.155989,3136.406661,0.017624324,0.017141469,-0.00026701,468,2.670245853
32,-1.386179372,-1.753946404,-1.85423426,-0.543987343,0.134322772,-0.004392582,3.28E-05,1.076574752,-1.81E-05,1.08047904,1.0725043,0.0068375,1.0787998,10.114581,39.010788,30.02223,3281.801848,0.017144648,0.016837668,4.10E-05,498,2.697229343
33,-1.34314469,-1.658957372,-1.813314495,-2.337812994,0.133107305,-0.00883026,1.27E-05,1.07857364,-5.83E-05,1.084380818,1.0732793,0.0068458,1.0785081,10.14688433,35.575104,29.430504,3115.208702,0.01768863,0.017417014,-3.72E-05,492,2.691965103
34,-1.36479095,-1.704590148,-1.841592771,-1.126582219,0.131303618,-0.007397814,2.07E-05,1.08352129,-1.62E-05,1.086236694,1.079052,0.006544,1.0847911,10.12924833,37.553761,29.949514,3231.380182,0.017695136,0.017406421,9.91E-05,520,2.716003344
35,-1.272055591,-1.628983776,-1.743868445,-0.728436834,0.139738367,-0.008691661,-2.80E-07,1.073355198,-7.22E-05,1.079095497,1.0687217,0.0057665,1.0718495,10.13029333,40.031326,30.03739,3296.044703,0.017460613,0.016969517,-0.000378346,463,2.665580991
36,-1.291292746,-1.632434305,-1.761351388,-0.948254492,0.139515213,-0.008764194,3.51E-05,1.07889607,-3.18E-05,1.084373907,1.0748166,0.0068574,1.081265,10.11468833,36.40403,29.367825,3130.587654,0.018226312,0.01798249,9.34E-05,478,2.679427897
37,-1.283622453,-1.593239933,-1.752581648,-1.298407454,0.142137464,-0.012203128,3.19E-05,1.084284399,-2.65E-05,1.088829988,1.0784613,0.0084206,1.0863159,10.14447933,36.903049,29.399006,3148.712511,0.018174672,0.017882114,7.45E-05,459,2.661812686
38,-1.247334921,-1.587985536,-1.719323761,-0.866600089,0.140075548,-0.009933227,1.66E-05,1.073882672,-6.89E-05,1.080949204,1.0682049,0.0079039,1.0736984,10.12803633,38.922901,29.400105,3247.207896,0.0179385,0.017491397,-7.86E-05,429,2.632457292
39,-1.226029272,-1.547619126,-1.697266924,-1.993883621,0.134111958,-0.013852453,1.25E-05,1.078976253,-2.66E-05,1.081680605,1.0735646,0.0070754,1.0790776,10.12917433,38.905258,29.649296,3235.109068,0.01812768,0.017879792,9.04E-05,462,2.664641976
40,-1.361351223,-1.680774843,-1.843991575,-1.53969922,0.113009868,-0.009449903,-7.06E-06,1.074867974,-7.21E-05,1.080170462,1.0704726,0.0051856,1.0730408,10.097114,37.933308,29.381407,3196.248318,0.017153347,0.01683791,-0.000126906,487,2.687528961
